
--- [START 2018-11-12_01-05-46] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = C:\Users\Admin\Desktop\doodle\code
	__file__     = baseline_25k
	out_dir      = ../../output

	<additional comments>
	  ... xxx baseline  ... 

** dataset setting **
batch_size = 320
train_dataset : 
	split        = train_0
	mode         = train
	complexity   = simplified
	len(self.id) = 8500000


valid_dataset : 
	split        = valid_0
	mode         = train
	complexity   = simplified
	len(self.id) = 27200



** net setting **
	initial_checkpoint = ../../output/backup/color_model_885.pth
<class 'model_seresnext50.Net'>
criterion=<function softmax_cross_entropy_criterion at 0x000001F743A0B0D0>

schduler
  (Exp) Decay Learning Rates
base_lr=0.010, decay=0.100, step=53125.000

** start training here! **
                    |------------ VALID -------------|-------- TRAIN/BATCH ----------|         
rate   iter  epoch  | loss   acc-1  acc-3   lb       | loss   acc-1  acc-3   lb      |  time   
----------------------------------------------------------------------------------------------------
0.0010  23.2    0.9 | 0.640  0.835  0.942  (0.885)   | 0.590  0.847  0.942  (0.891)  |  8 hr 45 min
0.0010  23.3    0.9 | 0.640  0.835  0.942  (0.885)   | 0.625  0.845  0.940  (0.889)  |  8 hr 47 min
0.0010  23.4    0.9 | 0.641  0.835  0.942  (0.885)   | 0.602  0.842  0.947  (0.891)  |  8 hr 50 min
0.0010  23.5    0.9 | 0.641  0.836  0.942  (0.885)   | 0.575  0.852  0.948  (0.897)  |  8 hr 52 min
0.0010  23.6    0.9 | 0.641  0.835  0.942  (0.885)   | 0.615  0.840  0.946  (0.890)  |  8 hr 54 min
0.0010  23.7    0.9 | 0.640  0.835  0.942  (0.885)   | 0.636  0.841  0.938  (0.887)  |  8 hr 56 min
0.0010  23.8    0.9 | 0.640  0.836  0.942  (0.885)   | 0.618  0.839  0.942  (0.887)  |  8 hr 59 min
0.0010  23.9    0.9 | 0.639  0.836  0.942  (0.885)   | 0.593  0.848  0.946  (0.893)  |  9 hr 01 min
0.0010  24.0    0.9 | 0.638  0.836  0.942  (0.885)*  | 0.627  0.840  0.942  (0.887)  |  9 hr 03 min
0.0010  24.1    0.9 | 0.638  0.836  0.942  (0.885)   | 0.596  0.850  0.950  (0.896)  |  9 hr 05 min
0.0010  24.2    0.9 | 0.639  0.836  0.942  (0.885)   | 0.627  0.839  0.938  (0.886)  |  9 hr 08 min
0.0010  24.3    0.9 | 0.639  0.836  0.942  (0.885)   | 0.636  0.837  0.940  (0.885)  |  9 hr 10 min
0.0010  24.4    0.9 | 0.638  0.835  0.942  (0.884)   | 0.601  0.850  0.945  (0.894)  |  9 hr 12 min
0.0010  24.5    0.9 | 0.638  0.836  0.942  (0.885)   | 0.630  0.840  0.942  (0.888)  |  9 hr 14 min
0.0010  24.6    0.9 | 0.639  0.835  0.942  (0.885)   | 0.630  0.835  0.938  (0.883)  |  9 hr 17 min
0.0010  24.7    0.9 | 0.638  0.836  0.942  (0.885)   | 0.604  0.842  0.942  (0.889)  |  9 hr 19 min
0.0010  24.8    0.9 | 0.638  0.836  0.943  (0.885)   | 0.586  0.845  0.947  (0.892)  |  9 hr 21 min
0.0010  24.9    0.9 | 0.638  0.835  0.942  (0.885)   | 0.620  0.845  0.944  (0.891)  |  9 hr 24 min
0.0010  25.0    0.9 | 0.639  0.835  0.942  (0.885)   | 0.650  0.832  0.943  (0.884)  |  9 hr 26 min
0.0010  25.1    0.9 | 0.638  0.834  0.943  (0.885)   | 0.597  0.846  0.946  (0.893)  |  9 hr 28 min
0.0010  25.2    0.9 | 0.639  0.835  0.942  (0.885)   | 0.590  0.847  0.947  (0.893)  |  9 hr 30 min
0.0010  25.3    1.0 | 0.639  0.836  0.942  (0.885)   | 0.632  0.837  0.941  (0.886)  |  9 hr 33 min
0.0010  25.4    1.0 | 0.640  0.835  0.942  (0.884)   | 0.628  0.838  0.942  (0.886)  |  9 hr 35 min
0.0010  25.5    1.0 | 0.639  0.834  0.942  (0.884)   | 0.639  0.833  0.943  (0.884)  |  9 hr 37 min
0.0010  25.6    1.0 | 0.639  0.834  0.942  (0.884)   | 0.611  0.839  0.944  (0.887)  |  9 hr 39 min
0.0010  25.7    1.0 | 0.639  0.835  0.942  (0.885)   | 0.625  0.844  0.943  (0.890)  |  9 hr 42 min
0.0010  25.8    1.0 | 0.638  0.835  0.942  (0.884)   | 0.603  0.842  0.947  (0.891)  |  9 hr 44 min
0.0010  25.9    1.0 | 0.638  0.836  0.942  (0.885)   | 0.613  0.843  0.942  (0.889)  |  9 hr 46 min
0.0010  26.0    1.0 | 0.637  0.837  0.942  (0.886)*  | 0.610  0.835  0.945  (0.887)  |  9 hr 48 min
0.0010  26.1    1.0 | 0.637  0.835  0.942  (0.885)   | 0.621  0.843  0.944  (0.890)  |  9 hr 51 min
0.0010  26.2    1.0 | 0.638  0.835  0.943  (0.885)   | 0.609  0.849  0.945  (0.893)  |  9 hr 53 min
0.0010  26.3    1.0 | 0.638  0.836  0.943  (0.886)   | 0.621  0.838  0.945  (0.888)  |  9 hr 55 min
0.0010  26.4    1.0 | 0.637  0.836  0.942  (0.885)   | 0.590  0.848  0.949  (0.895)  |  9 hr 57 min
0.0010  26.5    1.0 | 0.637  0.835  0.942  (0.885)   | 0.611  0.844  0.945  (0.891)  | 10 hr 00 min
0.0010  26.6    1.0 | 0.638  0.835  0.942  (0.885)   | 0.615  0.844  0.941  (0.889)  | 10 hr 02 min
0.0010  26.7    1.0 | 0.639  0.834  0.942  (0.884)   | 0.635  0.837  0.942  (0.886)  | 10 hr 04 min
0.0010  26.8    1.0 | 0.639  0.835  0.942  (0.885)   | 0.631  0.838  0.942  (0.886)  | 10 hr 07 min
0.0010  26.9    1.0 | 0.638  0.835  0.942  (0.885)   | 0.612  0.837  0.946  (0.887)  | 10 hr 09 min
0.0010  27.0    1.0 | 0.638  0.835  0.943  (0.885)   | 0.623  0.839  0.943  (0.887)  | 10 hr 11 min
0.0010  27.1    1.0 | 0.638  0.836  0.942  (0.885)   | 0.605  0.840  0.946  (0.889)  | 10 hr 13 min
0.0010  27.2    1.0 | 0.638  0.835  0.942  (0.885)   | 0.615  0.841  0.944  (0.889)  | 10 hr 16 min
0.0010  27.3    1.0 | 0.638  0.835  0.943  (0.885)   | 0.598  0.847  0.946  (0.893)  | 10 hr 18 min
0.0010  27.4    1.0 | 0.637  0.837  0.942  (0.886)   | 0.593  0.848  0.946  (0.893)  | 10 hr 20 min
0.0010  27.5    1.0 | 0.639  0.836  0.943  (0.885)   | 0.595  0.845  0.947  (0.893)  | 10 hr 22 min
0.0010  27.6    1.0 | 0.639  0.835  0.942  (0.885)   | 0.564  0.850  0.950  (0.896)  | 10 hr 25 min
0.0010  27.7    1.0 | 0.638  0.835  0.942  (0.885)   | 0.607  0.844  0.945  (0.890)  | 10 hr 27 min
0.0010  27.8    1.0 | 0.638  0.835  0.942  (0.885)   | 0.603  0.846  0.945  (0.892)  | 10 hr 29 min
0.0010  27.9    1.1 | 0.639  0.836  0.942  (0.886)   | 0.634  0.843  0.943  (0.889)  | 10 hr 31 min
0.0010  28.0    1.1 | 0.639  0.836  0.942  (0.885)*  | 0.588  0.846  0.948  (0.893)  | 10 hr 34 min
0.0010  28.1    1.1 | 0.639  0.836  0.942  (0.885)   | 0.605  0.840  0.945  (0.889)  | 10 hr 36 min
0.0010  28.2    1.1 | 0.639  0.836  0.942  (0.886)   | 0.593  0.850  0.949  (0.896)  | 10 hr 38 min
0.0010  28.3    1.1 | 0.640  0.835  0.943  (0.885)   | 0.614  0.836  0.943  (0.886)  | 10 hr 41 min
0.0010  28.4    1.1 | 0.640  0.835  0.943  (0.885)   | 0.591  0.848  0.943  (0.892)  | 10 hr 43 min
0.0010  28.5    1.1 | 0.639  0.836  0.943  (0.886)   | 0.596  0.849  0.949  (0.895)  | 10 hr 45 min
0.0010  28.6    1.1 | 0.640  0.835  0.943  (0.885)   | 0.547  0.850  0.953  (0.898)  | 10 hr 47 min
0.0010  28.7    1.1 | 0.640  0.835  0.942  (0.885)   | 0.613  0.840  0.945  (0.888)  | 10 hr 50 min
0.0010  28.8    1.1 | 0.641  0.835  0.942  (0.885)   | 0.619  0.846  0.940  (0.889)  | 10 hr 52 min
0.0010  28.9    1.1 | 0.641  0.835  0.942  (0.885)   | 0.604  0.849  0.944  (0.893)  | 10 hr 54 min
0.0010  29.0    1.1 | 0.640  0.835  0.942  (0.885)   | 0.588  0.849  0.948  (0.896)  | 10 hr 56 min
0.0010  29.1    1.1 | 0.640  0.836  0.942  (0.885)   | 0.610  0.845  0.942  (0.890)  | 10 hr 59 min
0.0010  29.2    1.1 | 0.640  0.835  0.942  (0.885)   | 0.611  0.842  0.946  (0.891)  | 11 hr 01 min
0.0010  29.3    1.1 | 0.639  0.836  0.942  (0.885)   | 0.594  0.848  0.946  (0.894)  | 11 hr 03 min
0.0010  29.4    1.1 | 0.639  0.836  0.942  (0.885)   | 0.629  0.835  0.942  (0.885)  | 11 hr 05 min
0.0010  29.5    1.1 | 0.640  0.836  0.943  (0.885)   | 0.576  0.851  0.950  (0.897)  | 11 hr 08 min
0.0010  29.6    1.1 | 0.639  0.836  0.942  (0.885)   | 0.636  0.842  0.940  (0.887)  | 11 hr 10 min
0.0010  29.7    1.1 | 0.639  0.835  0.942  (0.885)   | 0.602  0.845  0.946  (0.892)  | 11 hr 12 min
0.0010  29.8    1.1 | 0.639  0.835  0.943  (0.885)   | 0.605  0.846  0.944  (0.892)  | 11 hr 14 min
0.0010  29.9    1.1 | 0.639  0.834  0.943  (0.885)   | 0.580  0.851  0.948  (0.896)  | 11 hr 17 min
0.0010  30.0    1.1 | 0.638  0.836  0.942  (0.885)*  | 0.592  0.846  0.945  (0.892)  | 11 hr 19 min
0.0010  30.1    1.1 | 0.638  0.836  0.942  (0.885)   | 0.636  0.839  0.940  (0.885)  | 11 hr 21 min
0.0010  30.2    1.1 | 0.637  0.836  0.942  (0.885)   | 0.632  0.838  0.943  (0.886)  | 11 hr 24 min
0.0010  30.3    1.1 | 0.637  0.835  0.942  (0.885)   | 0.610  0.844  0.943  (0.890)  | 11 hr 26 min
0.0010  30.4    1.1 | 0.638  0.836  0.942  (0.885)   | 0.606  0.844  0.944  (0.890)  | 11 hr 28 min
0.0010  30.5    1.1 | 0.638  0.835  0.942  (0.885)   | 0.590  0.845  0.945  (0.892)  | 11 hr 30 min
0.0010  30.6    1.2 | 0.638  0.836  0.942  (0.885)   | 0.614  0.842  0.944  (0.889)  | 11 hr 33 min
0.0010  30.7    1.2 | 0.638  0.835  0.942  (0.885)   | 0.599  0.846  0.945  (0.891)  | 11 hr 35 min
0.0010  30.8    1.2 | 0.638  0.835  0.942  (0.885)   | 0.604  0.839  0.945  (0.889)  | 11 hr 37 min
0.0010  30.9    1.2 | 0.639  0.835  0.942  (0.885)   | 0.588  0.848  0.948  (0.894)  | 11 hr 39 min
0.0010  31.0    1.2 | 0.638  0.836  0.942  (0.885)   | 0.604  0.845  0.945  (0.892)  | 11 hr 42 min
0.0010  31.1    1.2 | 0.638  0.836  0.942  (0.886)   | 0.614  0.846  0.942  (0.891)  | 11 hr 44 min
0.0010  31.2    1.2 | 0.637  0.837  0.943  (0.886)   | 0.620  0.845  0.945  (0.892)  | 11 hr 46 min
0.0010  31.3    1.2 | 0.639  0.836  0.942  (0.886)   | 0.610  0.839  0.945  (0.888)  | 11 hr 48 min
0.0010  31.4    1.2 | 0.637  0.836  0.942  (0.886)   | 0.554  0.857  0.953  (0.901)  | 11 hr 51 min
0.0010  31.5    1.2 | 0.638  0.836  0.943  (0.886)   | 0.598  0.845  0.944  (0.891)  | 11 hr 53 min
0.0010  31.6    1.2 | 0.637  0.837  0.942  (0.886)   | 0.607  0.848  0.947  (0.894)  | 11 hr 55 min
0.0010  31.7    1.2 | 0.637  0.836  0.942  (0.886)   | 0.601  0.847  0.942  (0.891)  | 11 hr 57 min
0.0010  31.8    1.2 | 0.635  0.836  0.943  (0.885)   | 0.631  0.837  0.937  (0.884)  | 12 hr 00 min
0.0010  31.9    1.2 | 0.635  0.837  0.942  (0.886)   | 0.586  0.850  0.949  (0.896)  | 12 hr 02 min
0.0010  32.0    1.2 | 0.636  0.836  0.942  (0.885)*  | 0.595  0.844  0.946  (0.891)  | 12 hr 04 min
0.0010  32.1    1.2 | 0.637  0.837  0.941  (0.886)   | 0.611  0.840  0.946  (0.889)  | 12 hr 07 min
0.0010  32.2    1.2 | 0.638  0.837  0.942  (0.886)   | 0.628  0.840  0.941  (0.887)  | 12 hr 09 min
0.0010  32.3    1.2 | 0.636  0.838  0.942  (0.886)   | 0.618  0.848  0.945  (0.892)  | 12 hr 11 min
0.0010  32.4    1.2 | 0.637  0.837  0.941  (0.885)   | 0.593  0.848  0.942  (0.892)  | 12 hr 13 min
0.0010  32.5    1.2 | 0.637  0.837  0.942  (0.886)   | 0.622  0.842  0.944  (0.889)  | 12 hr 16 min
0.0010  32.6    1.2 | 0.637  0.837  0.943  (0.886)   | 0.573  0.848  0.953  (0.896)  | 12 hr 18 min
0.0010  32.7    1.2 | 0.638  0.835  0.943  (0.885)   | 0.597  0.847  0.945  (0.892)  | 12 hr 20 min
0.0010  32.8    1.2 | 0.638  0.836  0.942  (0.885)   | 0.603  0.841  0.945  (0.890)  | 12 hr 22 min
0.0010  32.9    1.2 | 0.638  0.836  0.943  (0.886)   | 0.612  0.848  0.946  (0.893)  | 12 hr 25 min
0.0010  33.0    1.2 | 0.636  0.836  0.943  (0.885)   | 0.608  0.843  0.944  (0.890)  | 12 hr 27 min
0.0010  33.1    1.2 | 0.637  0.836  0.942  (0.885)   | 0.609  0.843  0.943  (0.890)  | 12 hr 29 min
0.0010  33.2    1.2 | 0.637  0.836  0.942  (0.885)   | 0.583  0.848  0.947  (0.894)  | 12 hr 31 min
0.0010  33.3    1.3 | 0.637  0.837  0.942  (0.886)   | 0.570  0.858  0.950  (0.901)  | 12 hr 34 min
0.0010  33.4    1.3 | 0.638  0.837  0.943  (0.886)   | 0.577  0.852  0.951  (0.898)  | 12 hr 36 min
0.0010  33.5    1.3 | 0.636  0.837  0.943  (0.886)   | 0.619  0.842  0.945  (0.890)  | 12 hr 38 min
0.0010  33.6    1.3 | 0.637  0.837  0.942  (0.886)   | 0.573  0.853  0.948  (0.896)  | 12 hr 40 min
0.0010  33.7    1.3 | 0.637  0.836  0.942  (0.886)   | 0.585  0.845  0.947  (0.892)  | 12 hr 43 min
0.0010  33.8    1.3 | 0.637  0.836  0.942  (0.886)   | 0.616  0.842  0.944  (0.890)  | 12 hr 45 min
0.0010  33.9    1.3 | 0.638  0.837  0.942  (0.886)   | 0.610  0.847  0.946  (0.893)  | 12 hr 47 min
0.0010  34.0    1.3 | 0.638  0.837  0.942  (0.886)*  | 0.604  0.850  0.944  (0.894)  | 12 hr 50 min
0.0010  34.1    1.3 | 0.638  0.836  0.943  (0.886)   | 0.618  0.845  0.945  (0.892)  | 12 hr 52 min
0.0010  34.2    1.3 | 0.637  0.836  0.942  (0.885)   | 0.605  0.845  0.944  (0.891)  | 12 hr 54 min
0.0010  34.3    1.3 | 0.638  0.836  0.942  (0.885)   | 0.581  0.850  0.948  (0.896)  | 12 hr 56 min
0.0010  34.4    1.3 | 0.637  0.836  0.942  (0.885)   | 0.593  0.848  0.946  (0.894)  | 12 hr 59 min
0.0010  34.5    1.3 | 0.638  0.836  0.942  (0.886)   | 0.614  0.842  0.946  (0.890)  | 13 hr 01 min
0.0010  34.6    1.3 | 0.637  0.835  0.942  (0.885)   | 0.596  0.847  0.946  (0.893)  | 13 hr 03 min
0.0010  34.7    1.3 | 0.636  0.835  0.943  (0.885)   | 0.586  0.846  0.946  (0.893)  | 13 hr 05 min
0.0010  34.8    1.3 | 0.636  0.836  0.943  (0.886)   | 0.647  0.832  0.940  (0.882)  | 13 hr 08 min
0.0010  34.9    1.3 | 0.636  0.836  0.942  (0.886)   | 0.619  0.849  0.943  (0.892)  | 13 hr 10 min
0.0010  35.0    1.3 | 0.636  0.836  0.943  (0.885)   | 0.596  0.846  0.942  (0.891)  | 13 hr 12 min
0.0010  35.1    1.3 | 0.636  0.836  0.942  (0.886)   | 0.614  0.846  0.943  (0.891)  | 13 hr 14 min
0.0010  35.2    1.3 | 0.637  0.835  0.942  (0.885)   | 0.581  0.850  0.947  (0.895)  | 13 hr 17 min
0.0010  35.3    1.3 | 0.636  0.835  0.943  (0.885)   | 0.601  0.849  0.946  (0.894)  | 13 hr 19 min
0.0010  35.4    1.3 | 0.637  0.836  0.943  (0.886)   | 0.566  0.853  0.950  (0.899)  | 13 hr 21 min
0.0010  35.5    1.3 | 0.636  0.835  0.943  (0.885)   | 0.568  0.852  0.951  (0.898)  | 13 hr 23 min
0.0010  35.6    1.3 | 0.637  0.835  0.943  (0.885)   | 0.586  0.851  0.948  (0.896)  | 13 hr 26 min
0.0010  35.7    1.3 | 0.638  0.836  0.943  (0.885)   | 0.596  0.843  0.946  (0.891)  | 13 hr 28 min
0.0010  35.8    1.3 | 0.638  0.836  0.942  (0.885)   | 0.564  0.851  0.951  (0.897)  | 13 hr 30 min
0.0010  35.9    1.4 | 0.638  0.837  0.943  (0.886)   | 0.563  0.849  0.951  (0.896)  | 13 hr 33 min
0.0010  36.0    1.4 | 0.637  0.837  0.943  (0.886)*  | 0.605  0.842  0.945  (0.890)  | 13 hr 35 min
0.0010  36.1    1.4 | 0.637  0.836  0.943  (0.885)   | 0.586  0.845  0.949  (0.893)  | 13 hr 37 min
0.0010  36.2    1.4 | 0.636  0.837  0.942  (0.886)   | 0.564  0.856  0.950  (0.899)  | 13 hr 39 min
0.0010  36.3    1.4 | 0.636  0.837  0.942  (0.886)   | 0.594  0.846  0.942  (0.891)  | 13 hr 42 min
0.0010  36.4    1.4 | 0.638  0.837  0.942  (0.886)   | 0.578  0.845  0.950  (0.894)  | 13 hr 44 min
0.0010  36.5    1.4 | 0.639  0.836  0.942  (0.885)   | 0.596  0.850  0.946  (0.895)  | 13 hr 46 min
0.0010  36.6    1.4 | 0.638  0.837  0.942  (0.886)   | 0.606  0.847  0.945  (0.892)  | 13 hr 48 min
0.0010  36.7    1.4 | 0.638  0.836  0.942  (0.885)   | 0.587  0.852  0.945  (0.895)  | 13 hr 51 min
0.0010  36.8    1.4 | 0.638  0.836  0.942  (0.885)   | 0.611  0.845  0.945  (0.892)  | 13 hr 53 min
0.0010  36.9    1.4 | 0.638  0.836  0.942  (0.885)   | 0.591  0.849  0.946  (0.894)  | 13 hr 55 min
0.0010  37.0    1.4 | 0.638  0.835  0.942  (0.885)   | 0.593  0.847  0.950  (0.895)  | 13 hr 57 min
0.0010  37.1    1.4 | 0.637  0.836  0.942  (0.885)   | 0.578  0.851  0.948  (0.896)  | 14 hr 00 min
0.0010  37.2    1.4 | 0.637  0.836  0.942  (0.885)   | 0.603  0.845  0.945  (0.891)  | 14 hr 02 min
0.0010  37.3    1.4 | 0.638  0.835  0.943  (0.885)   | 0.592  0.844  0.948  (0.892)  | 14 hr 04 min
0.0010  37.4    1.4 | 0.638  0.836  0.942  (0.885)   | 0.545  0.858  0.953  (0.902)  | 14 hr 07 min
0.0010  37.5    1.4 | 0.637  0.836  0.943  (0.886)   | 0.585  0.847  0.946  (0.893)  | 14 hr 09 min
0.0010  37.6    1.4 | 0.637  0.836  0.943  (0.886)   | 0.585  0.853  0.948  (0.897)  | 14 hr 11 min
0.0010  37.7    1.4 | 0.639  0.835  0.943  (0.885)   | 0.575  0.851  0.947  (0.896)  | 14 hr 13 min
0.0010  37.8    1.4 | 0.637  0.836  0.943  (0.885)   | 0.601  0.847  0.945  (0.892)  | 14 hr 16 min
0.0010  37.9    1.4 | 0.638  0.836  0.943  (0.886)   | 0.630  0.840  0.943  (0.888)  | 14 hr 18 min
0.0010  38.0    1.4 | 0.638  0.835  0.943  (0.885)*  | 0.592  0.848  0.945  (0.893)  | 14 hr 20 min
0.0010  38.1    1.4 | 0.637  0.835  0.943  (0.885)   | 0.585  0.852  0.947  (0.896)  | 14 hr 22 min
0.0010  38.2    1.4 | 0.638  0.835  0.943  (0.885)   | 0.556  0.856  0.951  (0.900)  | 14 hr 25 min
0.0010  38.3    1.4 | 0.638  0.836  0.943  (0.886)   | 0.613  0.840  0.946  (0.890)  | 14 hr 27 min
0.0010  38.4    1.4 | 0.639  0.835  0.942  (0.885)   | 0.571  0.849  0.951  (0.896)  | 14 hr 29 min
0.0010  38.5    1.4 | 0.639  0.835  0.943  (0.885)   | 0.603  0.845  0.943  (0.891)  | 14 hr 31 min
0.0010  38.6    1.5 | 0.639  0.837  0.942  (0.886)   | 0.585  0.855  0.944  (0.896)  | 14 hr 34 min
0.0010  38.7    1.5 | 0.638  0.836  0.942  (0.885)   | 0.597  0.846  0.944  (0.892)  | 14 hr 36 min
0.0010  38.8    1.5 | 0.639  0.835  0.942  (0.885)   | 0.567  0.855  0.951  (0.900)  | 14 hr 38 min
0.0010  38.9    1.5 | 0.639  0.836  0.942  (0.885)   | 0.619  0.845  0.942  (0.890)  | 14 hr 40 min
0.0010  39.0    1.5 | 0.639  0.836  0.942  (0.885)   | 0.576  0.854  0.948  (0.898)  | 14 hr 43 min
0.0010  39.1    1.5 | 0.639  0.835  0.942  (0.885)   | 0.576  0.851  0.947  (0.895)  | 14 hr 45 min
0.0010  39.2    1.5 | 0.638  0.836  0.942  (0.885)   | 0.567  0.849  0.948  (0.895)  | 14 hr 47 min
0.0010  39.3    1.5 | 0.639  0.836  0.942  (0.885)   | 0.616  0.845  0.944  (0.890)  | 14 hr 50 min
0.0010  39.4    1.5 | 0.637  0.836  0.942  (0.885)   | 0.581  0.850  0.947  (0.895)  | 14 hr 52 min
0.0010  39.5    1.5 | 0.637  0.836  0.943  (0.886)   | 0.575  0.849  0.948  (0.894)  | 14 hr 54 min
0.0010  39.6    1.5 | 0.637  0.836  0.942  (0.886)   | 0.600  0.847  0.945  (0.892)  | 14 hr 56 min
0.0010  39.7    1.5 | 0.639  0.836  0.942  (0.885)   | 0.567  0.854  0.947  (0.898)  | 14 hr 59 min
0.0010  39.8    1.5 | 0.638  0.835  0.942  (0.885)   | 0.592  0.848  0.946  (0.894)  | 15 hr 01 min
0.0010  39.9    1.5 | 0.638  0.836  0.943  (0.886)   | 0.608  0.846  0.944  (0.892)  | 15 hr 03 min
0.0010  40.0    1.5 | 0.637  0.835  0.943  (0.885)*  | 0.550  0.855  0.953  (0.901)  | 15 hr 05 min
0.0010  40.1    1.5 | 0.637  0.835  0.943  (0.885)   | 0.577  0.851  0.949  (0.896)  | 15 hr 08 min
0.0010  40.2    1.5 | 0.638  0.835  0.942  (0.885)   | 0.551  0.859  0.952  (0.902)  | 15 hr 10 min
0.0010  40.3    1.5 | 0.638  0.836  0.942  (0.885)   | 0.602  0.849  0.945  (0.893)  | 15 hr 12 min
0.0010  40.4    1.5 | 0.638  0.836  0.943  (0.885)   | 0.608  0.844  0.944  (0.890)  | 15 hr 14 min
0.0010  40.5    1.5 | 0.637  0.836  0.943  (0.885)   | 0.586  0.849  0.942  (0.893)  | 15 hr 17 min
0.0010  40.6    1.5 | 0.637  0.836  0.942  (0.885)   | 0.585  0.847  0.946  (0.893)  | 15 hr 19 min
0.0010  40.7    1.5 | 0.638  0.836  0.942  (0.886)   | 0.577  0.853  0.948  (0.897)  | 15 hr 21 min
0.0010  40.8    1.5 | 0.638  0.836  0.943  (0.886)   | 0.597  0.852  0.945  (0.896)  | 15 hr 23 min
0.0010  40.9    1.5 | 0.638  0.836  0.943  (0.886)   | 0.580  0.853  0.949  (0.897)  | 15 hr 26 min
0.0010  41.0    1.5 | 0.638  0.837  0.943  (0.886)   | 0.591  0.847  0.948  (0.894)  | 15 hr 28 min
0.0010  41.1    1.5 | 0.637  0.836  0.942  (0.885)   | 0.589  0.847  0.946  (0.893)  | 15 hr 30 min
0.0010  41.2    1.6 | 0.637  0.837  0.942  (0.886)   | 0.592  0.846  0.948  (0.893)  | 15 hr 33 min
0.0010  41.3    1.6 | 0.637  0.837  0.942  (0.886)   | 0.575  0.842  0.950  (0.892)  | 15 hr 35 min
0.0010  41.4    1.6 | 0.636  0.838  0.942  (0.886)   | 0.527  0.868  0.952  (0.907)  | 15 hr 37 min
0.0010  41.5    1.6 | 0.637  0.837  0.942  (0.886)   | 0.587  0.849  0.945  (0.894)  | 15 hr 39 min
0.0010  41.6    1.6 | 0.637  0.838  0.942  (0.886)   | 0.538  0.866  0.954  (0.907)  | 15 hr 42 min
0.0010  41.7    1.6 | 0.637  0.837  0.943  (0.886)   | 0.587  0.849  0.947  (0.894)  | 15 hr 44 min
0.0010  41.8    1.6 | 0.638  0.837  0.942  (0.886)   | 0.569  0.853  0.949  (0.898)  | 15 hr 46 min
0.0010  41.9    1.6 | 0.637  0.837  0.942  (0.886)   | 0.563  0.852  0.951  (0.898)  | 15 hr 48 min
0.0010  42.0    1.6 | 0.638  0.836  0.943  (0.886)*  | 0.588  0.849  0.947  (0.894)  | 15 hr 51 min
0.0010  42.1    1.6 | 0.637  0.836  0.943  (0.885)   | 0.592  0.846  0.948  (0.894)  | 15 hr 53 min
0.0010  42.2    1.6 | 0.638  0.836  0.943  (0.886)   | 0.628  0.846  0.945  (0.892)  | 15 hr 55 min
0.0010  42.3    1.6 | 0.637  0.836  0.943  (0.886)   | 0.593  0.844  0.947  (0.892)  | 15 hr 57 min
0.0010  42.4    1.6 | 0.637  0.835  0.943  (0.885)   | 0.589  0.847  0.943  (0.892)  | 16 hr 00 min
0.0010  42.5    1.6 | 0.635  0.836  0.943  (0.885)   | 0.607  0.845  0.943  (0.891)  | 16 hr 02 min
0.0010  42.6    1.6 | 0.636  0.837  0.943  (0.886)   | 0.586  0.849  0.948  (0.895)  | 16 hr 04 min
0.0010  42.7    1.6 | 0.637  0.836  0.943  (0.886)   | 0.567  0.856  0.948  (0.899)  | 16 hr 06 min
0.0010  42.8    1.6 | 0.637  0.835  0.942  (0.885)   | 0.582  0.854  0.948  (0.898)  | 16 hr 09 min
0.0010  42.9    1.6 | 0.636  0.835  0.942  (0.885)   | 0.587  0.845  0.948  (0.893)  | 16 hr 11 min
0.0010  43.0    1.6 | 0.635  0.836  0.942  (0.885)   | 0.564  0.857  0.949  (0.900)  | 16 hr 13 min
0.0010  43.1    1.6 | 0.637  0.836  0.942  (0.885)   | 0.588  0.845  0.948  (0.894)  | 16 hr 16 min
0.0010  43.2    1.6 | 0.637  0.836  0.942  (0.886)   | 0.592  0.844  0.945  (0.891)  | 16 hr 18 min
0.0010  43.3    1.6 | 0.637  0.836  0.942  (0.886)   | 0.586  0.850  0.949  (0.896)  | 16 hr 20 min
0.0010  43.4    1.6 | 0.637  0.836  0.942  (0.886)   | 0.569  0.854  0.948  (0.897)  | 16 hr 22 min
0.0010  43.5    1.6 | 0.637  0.837  0.942  (0.886)   | 0.569  0.850  0.948  (0.896)  | 16 hr 25 min
0.0010  43.6    1.6 | 0.637  0.836  0.942  (0.885)   | 0.590  0.845  0.947  (0.893)  | 16 hr 27 min
0.0010  43.7    1.6 | 0.638  0.835  0.942  (0.885)   | 0.564  0.857  0.953  (0.901)  | 16 hr 29 min
0.0010  43.8    1.6 | 0.638  0.836  0.942  (0.885)   | 0.565  0.854  0.949  (0.898)  | 16 hr 31 min
0.0010  43.9    1.7 | 0.638  0.836  0.943  (0.886)   | 0.558  0.854  0.950  (0.899)  | 16 hr 34 min
0.0010  44.0    1.7 | 0.638  0.835  0.942  (0.885)*  | 0.587  0.848  0.945  (0.894)  | 16 hr 36 min
0.0010  44.1    1.7 | 0.638  0.836  0.943  (0.885)   | 0.572  0.854  0.949  (0.898)  | 16 hr 38 min
0.0010  44.2    1.7 | 0.638  0.836  0.942  (0.886)   | 0.563  0.851  0.953  (0.898)  | 16 hr 40 min
