
--- [START 2018-11-12_01-05-46] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = C:\Users\Admin\Desktop\doodle\code
	__file__     = baseline_25k
	out_dir      = ../../output

	<additional comments>
	  ... xxx baseline  ... 

** dataset setting **
batch_size = 320
train_dataset : 
	split        = train_0
	mode         = train
	complexity   = simplified
	len(self.id) = 8500000


valid_dataset : 
	split        = valid_0
	mode         = train
	complexity   = simplified
	len(self.id) = 27200



** net setting **
	initial_checkpoint = ../../output/backup/color_model_885.pth
<class 'model_seresnext50.Net'>
criterion=<function softmax_cross_entropy_criterion at 0x000001F743A0B0D0>

schduler
  (Exp) Decay Learning Rates
base_lr=0.010, decay=0.100, step=53125.000

** start training here! **
                    |------------ VALID -------------|-------- TRAIN/BATCH ----------|         
rate   iter  epoch  | loss   acc-1  acc-3   lb       | loss   acc-1  acc-3   lb      |  time   
----------------------------------------------------------------------------------------------------
0.0100  16.4    0.6 | 0.774  0.799  0.926  (0.857)   | 0.753  0.810  0.930  (0.865)  |  5 hr 55 min
0.0100  16.5    0.6 | 0.780  0.797  0.925  (0.856)   | 0.780  0.802  0.924  (0.859)  |  5 hr 57 min
0.0100  16.6    0.6 | 0.784  0.797  0.923  (0.855)   | 0.790  0.802  0.921  (0.857)  |  5 hr 59 min
0.0100  16.7    0.6 | 0.765  0.801  0.925  (0.858)   | 0.761  0.813  0.921  (0.863)  |  6 hr 01 min
0.0100  16.8    0.6 | 0.784  0.796  0.923  (0.855)   | 0.769  0.809  0.926  (0.863)  |  6 hr 04 min
0.0100  16.9    0.6 | 0.767  0.802  0.926  (0.859)   | 0.770  0.809  0.924  (0.861)  |  6 hr 06 min
0.0100  17.0    0.6 | 0.789  0.795  0.923  (0.854)   | 0.777  0.802  0.926  (0.859)  |  6 hr 08 min
0.0100  17.1    0.6 | 0.779  0.797  0.924  (0.856)   | 0.754  0.807  0.930  (0.864)  |  6 hr 10 min
0.0100  17.2    0.6 | 0.772  0.799  0.926  (0.857)   | 0.755  0.803  0.926  (0.860)  |  6 hr 12 min
0.0100  17.3    0.7 | 0.793  0.794  0.924  (0.854)   | 0.773  0.806  0.925  (0.861)  |  6 hr 14 min
0.0100  17.4    0.7 | 0.780  0.800  0.926  (0.858)   | 0.759  0.808  0.923  (0.861)  |  6 hr 17 min
0.0100  17.5    0.7 | 0.784  0.798  0.924  (0.856)   | 0.736  0.808  0.937  (0.867)  |  6 hr 19 min
0.0100  17.6    0.7 | 0.779  0.800  0.924  (0.857)   | 0.796  0.801  0.921  (0.857)  |  6 hr 21 min
0.0100  17.7    0.7 | 0.760  0.804  0.927  (0.861)   | 0.769  0.808  0.924  (0.862)  |  6 hr 23 min
0.0100  17.8    0.7 | 0.775  0.798  0.926  (0.857)   | 0.786  0.798  0.924  (0.857)  |  6 hr 25 min
0.0100  17.9    0.7 | 0.783  0.797  0.924  (0.856)   | 0.761  0.804  0.928  (0.861)  |  6 hr 27 min
0.0100  18.0    0.7 | 0.763  0.803  0.927  (0.860)*  | 0.777  0.798  0.923  (0.856)  |  6 hr 29 min
0.0100  18.1    0.7 | 0.779  0.799  0.924  (0.856)   | 0.785  0.801  0.926  (0.859)  |  6 hr 32 min
0.0100  18.2    0.7 | 0.780  0.800  0.924  (0.857)   | 0.795  0.795  0.927  (0.856)  |  6 hr 34 min
